"player","team","season","fitted","actual","residual"
"aaron brooks","Houston Rockets",2008,0.345404649480704,1.13448120165813,0.789076551839047
"aaron brooks","Houston Rockets",2009,3.5455624004499,1.2237854573337,-2.32177694253065
"aaron brooks","Houston Rockets",2010,8.01310035228872,1.28805746802993,-6.72504288494927
"aaron brooks","Phoenix Suns",2011,5.5626311015598,2.25129820401219,-3.31133289718628
"aaron brooks","Sacramento Kings",2013,3.9026780075618,3.50320838781105,-0.399469620172974
"aaron brooks","Denver Nuggets",2014,4.8819203284291,1.00544808347619,-3.87647224487238
"aaron brooks","Chicago Bulls",2016,5.26055513721852,2.35405626776423,-2.90649887040443
"aaron brooks","Indiana Pacers",2017,5.62153537877241,2.76594974901706,-2.8555856289545
"aaron gordon","Orlando Magic",2015,0.628284643458396,4.22935284363568,3.60106820004798
"aaron gordon","Orlando Magic",2016,2.94482926794229,4.3646086449363,1.41977937738802
"aaron gordon","Orlando Magic",2017,4.12305696881944,4.45760461551589,0.334547646243228
"acie law","Atlanta Hawks",2008,-0.240682214500346,2.24754917560176,2.48823138976442
"acie law","Atlanta Hawks",2009,0.618092815083461,2.42481718528738,1.8067243707898
"adreian payne","Minnesota Timberwolves",2015,0.92126158627185,1.96561229793643,1.04435071132651
"adreian payne","Minnesota Timberwolves",2016,0.216824244149932,2.02850597964089,1.8116817360773
"al harrington","Golden State Warriors",2008,6.57520365709673,9.82678794999668,3.25158429308705
"al harrington","New York Knicks",2009,11.8667836126085,10.7989503956971,-1.06783321733402
"al harrington","New York Knicks",2010,11.9455525170048,11.5466788477207,-0.398873669203909
"al harrington","Denver Nuggets",2011,8.12917031613919,6.43565509563695,-1.69351521994663
"al harrington","Denver Nuggets",2012,11.8834881959283,6.80959403628216,-5.07389416059615
"al harrington","Washington Wizards",2014,6.0466001177043,9.06700530800953,3.02040519007655
"al horford","Atlanta Hawks",2008,3.44615849063962,4.368718320967,0.922559829874132
"al horford","Atlanta Hawks",2009,7.52422763823455,4.71311199429468,-2.81111564363057
"al horford","Atlanta Hawks",2010,7.66500828096381,4.96056205663236,-2.70444622466912
"al horford","Atlanta Hawks",2011,9.85576752038563,6.0782691582072,-3.7774983615924
"al horford","Atlanta Hawks",2013,13.2255430132746,12.9349232780716,-0.290619734841781
"al horford","Atlanta Hawks",2014,16.1147774937021,12.7284396061156,-3.38633788739944
"al horford","Atlanta Hawks",2015,14.3833520162946,12.713358113553,-1.66999390316417
"al horford","Atlanta Hawks",2016,14.94471732508,12.5549667614092,-2.38975056359034
"al horford","Boston Celtics",2017,15.749626850095,27.188364049588,11.4387372000483
"al jefferson","Minnesota Timberwolves",2008,12.4684331692058,2.89345073194303,-9.57498243760076
"al jefferson","Minnesota Timberwolves",2009,14.9246538687633,12.8750526327238,-2.0496012354536
"al jefferson","Minnesota Timberwolves",2010,13.1175675844355,13.8188763869748,0.701308801848648
"al jefferson","Utah Jazz",2012,15.8082324224413,15.3117979679339,-0.496434454320664
"al jefferson","Utah Jazz",2013,15.0983296986796,16.1686540975895,1.07032439848759
"al jefferson","Charlotte Bobcats",2014,17.7969125160411,14.3194945568801,-3.47741795908038
"al jefferson","Charlotte Hornets",2015,16.8602893537169,14.3025278777471,-2.55776147541449
"al jefferson","Indiana Pacers",2017,14.3633628936028,10.4800596434998,-3.88330324930177
"al thornton","Los Angeles Clippers",2008,5.86943359772581,1.92705053856782,-3.94238305857194
"al thornton","Los Angeles Clippers",2009,7.72722930357115,2.07901668075902,-5.64821262350275
"al thornton","Washington Wizards",2010,5.27278696950773,2.18821907587747,-3.08456789326888
"al thornton","Washington Wizards",2011,4.60253090790059,3.14157759367235,-1.46095331404131
"alan anderson","Brooklyn Nets",2014,3.59456313697983,1.00544808347619,-2.58911505445381
"alan anderson","Brooklyn Nets",2015,3.88698114486333,1.35191837231155,-2.53506277175092
"alec burks","Utah Jazz",2012,0.0251753583577631,2.20949244677286,2.18431708880862
"alec burks","Utah Jazz",2013,-0.302124541541644,2.34083306563261,2.64295760672121
"alec burks","Utah Jazz",2014,2.70138798260771,2.46422590774399,-0.237162074554489
"alec burks","Utah Jazz",2015,4.72472979631934,3.39206167274217,-1.33266812391505
"alec burks","Utah Jazz",2016,6.41875576499314,9.6395821147313,3.22082635032402
"alec burks","Utah Jazz",2017,6.68008895713634,10.4025269987574,3.72243804093029
"alex abrines","Oklahoma City Thunder",2017,0.179727941251192,6.14119110415426,5.96146316256482
"alex len","Phoenix Suns",2015,4.44237016917769,3.67619463211499,-0.766175537515877
"alex len","Phoenix Suns",2016,5.4145072093032,3.98318875472469,-1.43131845426941
"alex len","Phoenix Suns",2017,7.29563129092856,4.94144196085312,-2.35418933041362
"alexey shved","Minnesota Timberwolves",2013,3.13942047860668,3.16324626675513,0.0238257887344072
"alexey shved","Minnesota Timberwolves",2014,1.48535963129137,3.34121539660535,1.85585576462414
"alexey shved","New York Knicks",2015,4.69276786373945,3.38887591708822,-1.30389194628999
"alexis ajinca","New Orleans Hornets",2016,4.51618640040197,4.74955124957172,0.233364849356337
"alexis ajinca","New Orleans Pelicans",2017,6.0880987141487,4.75149497175562,-1.33660374281547
"alfarouq aminu","Los Angeles Clippers",2011,0.905183382433788,2.86151663829108,1.95633325625097
"alfarouq aminu","New Orleans Hornets",2012,0.899374383080875,3.01375557203714,2.11438118850319
"alfarouq aminu","New Orleans Hornets",2013,3.50549722711289,3.17746390325828,-0.328033323545471
"alfarouq aminu","New Orleans Hornets",2014,2.88974836282263,3.97721521699753,1.08746685383702
