"variable","lower","upper","x","y","description"
"2-pointers per game",-2.9798625415005,-1.74010556022616,0.701492537313433,-2.35998405086333,"2-pointers per game"
"2-pointers per game",-2.97908202491095,-1.73971688744786,0.702127659574468,-2.3593994561794,"2-pointers per game"
"2-pointers per game",-2.97446858634747,-1.73741849607411,0.705882352941177,-2.35594354121079,"2-pointers per game"
"2-pointers per game",-2.97322266029701,-1.73679747561751,0.706896551724138,-2.35501006795726,"2-pointers per game"
"2-pointers per game",-2.97270608586606,-1.73653995554808,0.707317073170732,-2.35462302070707,"2-pointers per game"
"2-pointers per game",-2.96680582466668,-1.73359699413658,0.712121212121212,-2.35020140940163,"2-pointers per game"
"2-pointers per game",-2.96177825674935,-1.73108700321768,0.716216216216216,-2.34643262998351,"2-pointers per game"
"2-pointers per game",-2.95440743085789,-1.72740328865294,0.722222222222222,-2.34090535975542,"2-pointers per game"
"2-pointers per game",-2.95261374709416,-1.72650616385927,0.723684210526316,-2.33955995547671,"2-pointers per game"
"2-pointers per game",-2.9446727938306,-1.72253115280157,0.73015873015873,-2.33360197331608,"2-pointers per game"
"2-pointers per game",-2.94078066072664,-1.72058090476464,0.733333333333333,-2.33068078274564,"2-pointers per game"
"2-pointers per game",-2.94078066072664,-1.72058090476464,0.733333333333333,-2.33068078274564,"2-pointers per game"
"2-pointers per game",-2.93837718888717,-1.71937594184298,0.735294117647059,-2.32887656536508,"2-pointers per game"
"2-pointers per game",-2.93769702939525,-1.71903485942109,0.735849056603774,-2.32836594440817,"2-pointers per game"
"2-pointers per game",-2.93367583406271,-1.71701752663267,0.739130434782609,-2.32534668034769,"2-pointers per game"
"2-pointers per game",-2.93367583406271,-1.71701752663267,0.739130434782609,-2.32534668034769,"2-pointers per game"
"2-pointers per game",-2.92911018760443,-1.71472538051322,0.742857142857143,-2.32191778405883,"2-pointers per game"
"2-pointers per game",-2.92821282801325,-1.71427465853171,0.743589743589744,-2.32124374327248,"2-pointers per game"
"2-pointers per game",-2.92748245804756,-1.71390776047342,0.744186046511628,-2.32069510926049,"2-pointers per game"
"2-pointers per game",-2.91565535073549,-1.70796009472371,0.753846153846154,-2.3118077227296,"2-pointers per game"
"2-pointers per game",-2.9145896285705,-1.70742356941565,0.754716981132076,-2.31100659899307,"2-pointers per game"
"2-pointers per game",-2.91290022293033,-1.70657285763469,0.75609756097561,-2.30973654028251,"2-pointers per game"
"2-pointers per game",-2.91290022293033,-1.70657285763469,0.75609756097561,-2.30973654028251,"2-pointers per game"
"2-pointers per game",-2.90579606219711,-1.70299281681176,0.761904761904762,-2.30439443950443,"2-pointers per game"
"2-pointers per game",-2.89077380018067,-1.69540820090064,0.774193548387097,-2.29309100054065,"2-pointers per game"
"2-pointers per game",-2.8821545500691,-1.69104758139518,0.78125,-2.28660106573214,"2-pointers per game"
"2-pointers per game",-2.88146074940682,-1.69069629561413,0.781818181818182,-2.28607852251048,"2-pointers per game"
"2-pointers per game",-2.87961077253205,-1.68975940900855,0.783333333333333,-2.2846850907703,"2-pointers per game"
"2-pointers per game",-2.87804558732454,-1.68896651735475,0.784615384615385,-2.28350605233964,"2-pointers per game"
"2-pointers per game",-2.87211585671932,-1.68596069904888,0.789473684210526,-2.2790382778841,"2-pointers per game"
"2-pointers per game",-2.85294394600419,-1.67622133692565,0.805194805194805,-2.26458264146492,"2-pointers per game"
"2-pointers per game",-2.85250430365501,-1.67599762093632,0.805555555555556,-2.26425096229566,"2-pointers per game"
"2-pointers per game",-2.83896977225704,-1.66910216387128,0.816666666666667,-2.25403596806416,"2-pointers per game"
"2-pointers per game",-2.83712512417247,-1.66816112390945,0.818181818181818,-2.25264312404096,"2-pointers per game"
"2-pointers per game",-2.83257767304853,-1.66583998295609,0.821917808219178,-2.24920882800231,"2-pointers per game"
"2-pointers per game",-2.83061646538945,-1.66483836909312,0.823529411764706,-2.24772741724129,"2-pointers per game"
"2-pointers per game",-2.83061646538945,-1.66483836909312,0.823529411764706,-2.24772741724129,"2-pointers per game"
"2-pointers per game",-2.82936074305817,-1.66419687803937,0.824561403508772,-2.24677881054877,"2-pointers per game"
"2-pointers per game",-2.82448239351113,-1.66170343652664,0.828571428571429,-2.24309291501889,"2-pointers per game"
"2-pointers per game",-2.82251540923068,-1.66069747123718,0.830188679245283,-2.24160644023393,"2-pointers per game"
"2-pointers per game",-2.82251540923068,-1.66069747123718,0.830188679245283,-2.24160644023393,"2-pointers per game"
"2-pointers per game",-2.82212648908888,-1.66049852735469,0.830508474576271,-2.24131250822179,"2-pointers per game"
"2-pointers per game",-2.81869148049195,-1.65874084295887,0.833333333333333,-2.23871616172541,"2-pointers per game"
"2-pointers per game",-2.81869148049195,-1.65874084295887,0.833333333333333,-2.23871616172541,"2-pointers per game"
"2-pointers per game",-2.81273266166848,-1.65568926618186,0.838235294117647,-2.23421096392517,"2-pointers per game"
"2-pointers per game",-2.81215613192366,-1.6553938529018,0.838709677419355,-2.23377499241273,"2-pointers per game"
"2-pointers per game",-2.81058808727144,-1.65459024009825,0.84,-2.23258916368484,"2-pointers per game"
"2-pointers per game",-2.80603192292359,-1.65225400468295,0.84375,-2.22914296380327,"2-pointers per game"
"2-pointers per game",-2.80518834650226,-1.65182124843281,0.844444444444444,-2.22850479746753,"2-pointers per game"
"2-pointers per game",-2.80518834650226,-1.65182124843281,0.844444444444444,-2.22850479746753,"2-pointers per game"
